FraudFound,AccidentArea,Age,VehiclePrice,PastNumberOfClaims,Fault
No,Urban,56,"30,000 to 39,000",more than 4,Policy Holder
No,Urban,71,"20,000 to 29,000",1,Policy Holder
Yes,Urban,53,"20,000 to 29,000",none,Policy Holder
No,Urban,32,"20,000 to 29,000",none,Third Party
No,Urban,46,"30,000 to 39,000",more than 4,Policy Holder
No,Urban,25,"20,000 to 29,000",2 to 4,Policy Holder
Yes,Urban,46,"30,000 to 39,000",1,Policy Holder
No,Urban,55,"60,000 to 69,000",none,Policy Holder
No,Urban,42,"less than 20,000",2 to 4,Policy Holder
No,Urban,52,"more than 69,000",more than 4,Third Party
No,Urban,27,"20,000 to 29,000",1,Policy Holder
No,Urban,34,"20,000 to 29,000",1,Policy Holder
No,Urban,52,"more than 69,000",none,Third Party
No,Urban,65,"more than 69,000",none,Policy Holder
No,Urban,41,"less than 20,000",none,Third Party
No,Urban,27,"20,000 to 29,000",1,Policy Holder
No,Urban,64,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,30,"more than 69,000",2 to 4,Third Party
No,Urban,30,"20,000 to 29,000",none,Policy Holder
No,Urban,42,"20,000 to 29,000",2 to 4,Policy Holder
Yes,Urban,39,"20,000 to 29,000",none,Policy Holder
No,Rural,32,"20,000 to 29,000",2 to 4,Third Party
No,Urban,60,"20,000 to 29,000",1,Policy Holder
No,Urban,35,"20,000 to 29,000",none,Policy Holder
No,Urban,41,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,30,"20,000 to 29,000",2 to 4,Policy Holder
No,Rural,24,"20,000 to 29,000",1,Third Party
No,Urban,31,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,31,"20,000 to 29,000",none,Policy Holder
No,Urban,30,"20,000 to 29,000",more than 4,Policy Holder
No,Rural,42,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,47,"30,000 to 39,000",1,Policy Holder
No,Urban,51,"40,000 to 59,000",2 to 4,Policy Holder
No,Urban,30,"20,000 to 29,000",none,Third Party
Yes,Urban,27,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,30,"20,000 to 29,000",2 to 4,Third Party
No,Rural,42,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,28,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,40,"more than 69,000",none,Policy Holder
No,Urban,53,"20,000 to 29,000",2 to 4,Third Party
No,Urban,0,"more than 69,000",2 to 4,Policy Holder
No,Urban,26,"20,000 to 29,000",1,Third Party
No,Urban,42,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,0,"more than 69,000",1,Policy Holder
No,Urban,43,"20,000 to 29,000",none,Policy Holder
No,Urban,65,"more than 69,000",1,Policy Holder
No,Urban,44,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,55,"40,000 to 59,000",more than 4,Policy Holder
No,Urban,38,"20,000 to 29,000",more than 4,Policy Holder
No,Urban,32,"less than 20,000",more than 4,Policy Holder
No,Urban,30,"30,000 to 39,000",more than 4,Policy Holder
No,Urban,30,"20,000 to 29,000",1,Third Party
No,Urban,34,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,31,"more than 69,000",2 to 4,Policy Holder
No,Urban,29,"30,000 to 39,000",1,Policy Holder
No,Urban,35,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,61,"more than 69,000",2 to 4,Policy Holder
No,Urban,35,"20,000 to 29,000",none,Policy Holder
No,Urban,0,"more than 69,000",none,Policy Holder
No,Urban,40,"20,000 to 29,000",2 to 4,Third Party
No,Rural,33,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,33,"30,000 to 39,000",1,Policy Holder
No,Urban,0,"more than 69,000",more than 4,Policy Holder
No,Urban,46,"20,000 to 29,000",1,Policy Holder
No,Urban,42,"less than 20,000",1,Policy Holder
No,Urban,54,"20,000 to 29,000",1,Policy Holder
No,Rural,37,"20,000 to 29,000",more than 4,Policy Holder
No,Urban,40,"40,000 to 59,000",none,Third Party
No,Urban,52,"30,000 to 39,000",more than 4,Policy Holder
No,Urban,39,"30,000 to 39,000",2 to 4,Policy Holder
Yes,Urban,32,"more than 69,000",none,Policy Holder
No,Urban,28,"20,000 to 29,000",more than 4,Third Party
No,Urban,52,"more than 69,000",2 to 4,Policy Holder
No,Urban,0,"more than 69,000",2 to 4,Policy Holder
No,Urban,26,"20,000 to 29,000",2 to 4,Policy Holder
Yes,Rural,42,"less than 20,000",none,Policy Holder
No,Urban,47,"30,000 to 39,000",1,Third Party
No,Urban,56,"20,000 to 29,000",none,Policy Holder
No,Urban,0,"more than 69,000",1,Policy Holder
No,Urban,53,"less than 20,000",none,Third Party
Yes,Urban,35,"20,000 to 29,000",none,Policy Holder
No,Urban,39,"30,000 to 39,000",more than 4,Policy Holder
No,Urban,27,"20,000 to 29,000",2 to 4,Policy Holder
No,Rural,0,"more than 69,000",none,Policy Holder
No,Urban,31,"20,000 to 29,000",none,Policy Holder
No,Urban,38,"40,000 to 59,000",1,Policy Holder
No,Urban,50,"20,000 to 29,000",2 to 4,Third Party
No,Rural,42,"20,000 to 29,000",more than 4,Third Party
No,Urban,47,"20,000 to 29,000",none,Policy Holder
No,Rural,32,"less than 20,000",1,Policy Holder
No,Urban,32,"20,000 to 29,000",2 to 4,Third Party
No,Urban,24,"more than 69,000",none,Third Party
No,Urban,37,"30,000 to 39,000",1,Third Party
No,Urban,49,"20,000 to 29,000",more than 4,Policy Holder
No,Urban,34,"20,000 to 29,000",more than 4,Policy Holder
No,Urban,34,"30,000 to 39,000",none,Third Party
No,Urban,54,"30,000 to 39,000",more than 4,Third Party
No,Urban,28,"20,000 to 29,000",1,Policy Holder
No,Urban,44,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,27,"20,000 to 29,000",none,Third Party
No,Urban,51,"20,000 to 29,000",1,Policy Holder
No,Urban,21,"20,000 to 29,000",none,Third Party
No,Rural,44,"20,000 to 29,000",2 to 4,Third Party
No,Urban,33,"30,000 to 39,000",more than 4,Policy Holder
No,Urban,31,"30,000 to 39,000",1,Policy Holder
No,Urban,44,"20,000 to 29,000",2 to 4,Third Party
No,Urban,79,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,50,"30,000 to 39,000",more than 4,Policy Holder
No,Urban,64,"20,000 to 29,000",none,Third Party
No,Urban,28,"20,000 to 29,000",2 to 4,Third Party
No,Urban,48,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,26,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,41,"30,000 to 39,000",1,Third Party
No,Rural,57,"30,000 to 39,000",none,Third Party
No,Urban,75,"40,000 to 59,000",2 to 4,Policy Holder
No,Urban,37,"20,000 to 29,000",more than 4,Policy Holder
Yes,Urban,40,"20,000 to 29,000",1,Policy Holder
Yes,Urban,41,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,33,"20,000 to 29,000",2 to 4,Policy Holder
No,Rural,80,"more than 69,000",2 to 4,Policy Holder
No,Urban,34,"40,000 to 59,000",none,Third Party
No,Urban,53,"40,000 to 59,000",2 to 4,Policy Holder
No,Urban,31,"20,000 to 29,000",1,Third Party
No,Urban,34,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,56,"20,000 to 29,000",none,Policy Holder
No,Urban,53,"40,000 to 59,000",none,Policy Holder
No,Urban,36,"less than 20,000",2 to 4,Policy Holder
No,Urban,26,"20,000 to 29,000",1,Policy Holder
No,Rural,48,"20,000 to 29,000",2 to 4,Third Party
No,Urban,44,"20,000 to 29,000",none,Third Party
No,Urban,39,"30,000 to 39,000",more than 4,Policy Holder
No,Urban,32,"20,000 to 29,000",none,Policy Holder
No,Urban,42,"20,000 to 29,000",more than 4,Policy Holder
No,Rural,34,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,27,"20,000 to 29,000",more than 4,Policy Holder
No,Urban,26,"20,000 to 29,000",2 to 4,Policy Holder
No,Rural,50,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,75,"20,000 to 29,000",none,Policy Holder
No,Urban,54,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,26,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,71,"20,000 to 29,000",1,Third Party
No,Urban,42,"40,000 to 59,000",2 to 4,Policy Holder
No,Urban,34,"20,000 to 29,000",more than 4,Policy Holder
Yes,Urban,38,"30,000 to 39,000",more than 4,Policy Holder
No,Urban,32,"30,000 to 39,000",more than 4,Third Party
No,Rural,26,"more than 69,000",2 to 4,Policy Holder
No,Rural,35,"20,000 to 29,000",1,Policy Holder
No,Urban,33,"20,000 to 29,000",more than 4,Policy Holder
No,Urban,31,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,59,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,74,"20,000 to 29,000",2 to 4,Policy Holder
No,Rural,47,"less than 20,000",1,Policy Holder
Yes,Urban,35,"more than 69,000",2 to 4,Policy Holder
No,Urban,31,"20,000 to 29,000",1,Policy Holder
No,Urban,30,"30,000 to 39,000",2 to 4,Policy Holder
Yes,Urban,48,"more than 69,000",none,Policy Holder
No,Urban,68,"40,000 to 59,000",none,Policy Holder
No,Urban,31,"30,000 to 39,000",more than 4,Policy Holder
No,Urban,43,"20,000 to 29,000",2 to 4,Third Party
No,Urban,64,"more than 69,000",1,Policy Holder
No,Urban,56,"20,000 to 29,000",1,Third Party
No,Urban,58,"20,000 to 29,000",none,Policy Holder
No,Urban,31,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,55,"more than 69,000",1,Policy Holder
No,Urban,33,"20,000 to 29,000",none,Policy Holder
No,Urban,37,"20,000 to 29,000",none,Third Party
No,Urban,52,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,29,"20,000 to 29,000",2 to 4,Policy Holder
No,Rural,30,"20,000 to 29,000",2 to 4,Policy Holder
Yes,Urban,46,"20,000 to 29,000",1,Policy Holder
No,Rural,38,"20,000 to 29,000",more than 4,Policy Holder
No,Urban,31,"20,000 to 29,000",none,Policy Holder
No,Urban,21,"more than 69,000",none,Policy Holder
No,Urban,40,"more than 69,000",2 to 4,Policy Holder
No,Urban,26,"less than 20,000",2 to 4,Third Party
Yes,Urban,57,"less than 20,000",1,Policy Holder
No,Urban,29,"30,000 to 39,000",1,Third Party
No,Rural,23,"20,000 to 29,000",none,Third Party
No,Urban,43,"20,000 to 29,000",1,Policy Holder
No,Urban,55,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,28,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,70,"30,000 to 39,000",none,Third Party
No,Urban,24,"less than 20,000",more than 4,Policy Holder
No,Urban,48,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,42,"more than 69,000",none,Policy Holder
No,Urban,57,"less than 20,000",1,Third Party
Yes,Urban,26,"20,000 to 29,000",none,Policy Holder
Yes,Urban,31,"20,000 to 29,000",more than 4,Third Party
No,Urban,43,"20,000 to 29,000",more than 4,Policy Holder
No,Urban,41,"20,000 to 29,000",more than 4,Policy Holder
No,Rural,31,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,27,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,37,"40,000 to 59,000",1,Third Party
Yes,Urban,31,"30,000 to 39,000",1,Policy Holder
No,Urban,54,"20,000 to 29,000",1,Policy Holder
No,Urban,72,"20,000 to 29,000",none,Policy Holder
No,Urban,35,"30,000 to 39,000",more than 4,Policy Holder
No,Urban,33,"30,000 to 39,000",2 to 4,Policy Holder
No,Rural,37,"40,000 to 59,000",2 to 4,Policy Holder
No,Urban,64,"20,000 to 29,000",1,Policy Holder
No,Urban,58,"20,000 to 29,000",none,Third Party
Yes,Urban,61,"30,000 to 39,000",more than 4,Policy Holder
No,Rural,42,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,49,"20,000 to 29,000",2 to 4,Policy Holder
No,Rural,43,"more than 69,000",none,Policy Holder
No,Rural,23,"less than 20,000",2 to 4,Third Party
No,Urban,51,"more than 69,000",2 to 4,Policy Holder
No,Urban,44,"20,000 to 29,000",2 to 4,Policy Holder
No,Rural,28,"30,000 to 39,000",1,Third Party
No,Urban,43,"more than 69,000",more than 4,Third Party
No,Urban,29,"30,000 to 39,000",more than 4,Policy Holder
No,Urban,26,"20,000 to 29,000",none,Policy Holder
No,Urban,52,"20,000 to 29,000",none,Policy Holder
No,Urban,32,"20,000 to 29,000",none,Policy Holder
No,Urban,39,"less than 20,000",none,Third Party
No,Rural,55,"more than 69,000",2 to 4,Policy Holder
No,Urban,53,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,26,"less than 20,000",none,Policy Holder
No,Urban,52,"40,000 to 59,000",1,Policy Holder
No,Urban,31,"30,000 to 39,000",more than 4,Policy Holder
No,Urban,62,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,36,"30,000 to 39,000",none,Policy Holder
No,Urban,55,"20,000 to 29,000",2 to 4,Third Party
No,Urban,42,"20,000 to 29,000",2 to 4,Third Party
No,Rural,45,"20,000 to 29,000",1,Third Party
No,Urban,27,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,35,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,55,"30,000 to 39,000",none,Policy Holder
No,Urban,42,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,59,"less than 20,000",none,Third Party
No,Urban,79,"20,000 to 29,000",none,Policy Holder
No,Urban,66,"less than 20,000",none,Policy Holder
No,Urban,75,"30,000 to 39,000",none,Policy Holder
No,Urban,29,"40,000 to 59,000",none,Policy Holder
No,Urban,71,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,39,"20,000 to 29,000",1,Policy Holder
No,Urban,39,"20,000 to 29,000",2 to 4,Third Party
No,Urban,51,"30,000 to 39,000",1,Policy Holder
No,Urban,45,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,68,"30,000 to 39,000",more than 4,Policy Holder
No,Urban,43,"more than 69,000",2 to 4,Policy Holder
No,Urban,66,"less than 20,000",2 to 4,Policy Holder
Yes,Urban,23,"20,000 to 29,000",none,Policy Holder
No,Urban,68,"30,000 to 39,000",1,Third Party
No,Urban,50,"40,000 to 59,000",2 to 4,Third Party
No,Urban,57,"less than 20,000",none,Third Party
No,Rural,41,"30,000 to 39,000",none,Third Party
No,Urban,32,"30,000 to 39,000",2 to 4,Third Party
No,Urban,32,"30,000 to 39,000",more than 4,Policy Holder
No,Urban,41,"more than 69,000",more than 4,Policy Holder
No,Rural,26,"20,000 to 29,000",1,Third Party
No,Urban,43,"30,000 to 39,000",more than 4,Policy Holder
No,Urban,28,"20,000 to 29,000",none,Third Party
No,Urban,28,"20,000 to 29,000",none,Policy Holder
No,Rural,24,"30,000 to 39,000",none,Policy Holder
No,Urban,62,"more than 69,000",none,Policy Holder
No,Urban,30,"more than 69,000",1,Policy Holder
No,Urban,20,"20,000 to 29,000",1,Third Party
No,Urban,26,"more than 69,000",none,Policy Holder
No,Urban,43,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,57,"20,000 to 29,000",none,Policy Holder
No,Urban,76,"20,000 to 29,000",1,Policy Holder
No,Urban,46,"40,000 to 59,000",1,Policy Holder
No,Urban,28,"more than 69,000",2 to 4,Third Party
No,Urban,26,"30,000 to 39,000",1,Policy Holder
No,Urban,63,"more than 69,000",2 to 4,Policy Holder
No,Urban,29,"20,000 to 29,000",2 to 4,Third Party
No,Urban,36,"20,000 to 29,000",none,Third Party
No,Urban,66,"20,000 to 29,000",1,Third Party
No,Rural,40,"20,000 to 29,000",more than 4,Policy Holder
No,Urban,27,"20,000 to 29,000",more than 4,Third Party
No,Urban,31,"20,000 to 29,000",1,Policy Holder
No,Urban,62,"20,000 to 29,000",1,Third Party
No,Urban,41,"20,000 to 29,000",1,Policy Holder
No,Urban,32,"30,000 to 39,000",1,Third Party
No,Urban,46,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,35,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,21,"less than 20,000",1,Third Party
No,Urban,35,"20,000 to 29,000",none,Third Party
No,Urban,72,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,31,"30,000 to 39,000",2 to 4,Policy Holder
No,Rural,50,"more than 69,000",more than 4,Policy Holder
No,Urban,0,"more than 69,000",2 to 4,Policy Holder
Yes,Urban,39,"more than 69,000",none,Policy Holder
No,Rural,64,"20,000 to 29,000",1,Policy Holder
No,Urban,26,"less than 20,000",2 to 4,Third Party
No,Urban,63,"20,000 to 29,000",none,Third Party
No,Urban,45,"40,000 to 59,000",2 to 4,Policy Holder
No,Urban,44,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,27,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,45,"more than 69,000",2 to 4,Third Party
No,Urban,54,"20,000 to 29,000",1,Third Party
No,Urban,35,"30,000 to 39,000",1,Policy Holder
No,Urban,42,"30,000 to 39,000",1,Policy Holder
No,Urban,49,"20,000 to 29,000",none,Policy Holder
No,Urban,37,"30,000 to 39,000",more than 4,Policy Holder
No,Urban,31,"30,000 to 39,000",more than 4,Policy Holder
No,Rural,41,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,37,"30,000 to 39,000",1,Policy Holder
No,Urban,40,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,27,"20,000 to 29,000",none,Third Party
No,Urban,36,"30,000 to 39,000",more than 4,Third Party
No,Urban,39,"20,000 to 29,000",none,Policy Holder
No,Urban,27,"30,000 to 39,000",1,Policy Holder
No,Urban,34,"less than 20,000",none,Policy Holder
No,Rural,35,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,56,"30,000 to 39,000",1,Policy Holder
No,Urban,33,"20,000 to 29,000",none,Policy Holder
Yes,Urban,0,"more than 69,000",none,Policy Holder
No,Urban,64,"30,000 to 39,000",1,Third Party
No,Urban,34,"20,000 to 29,000",1,Policy Holder
No,Urban,40,"less than 20,000",none,Policy Holder
No,Urban,35,"20,000 to 29,000",none,Policy Holder
No,Urban,34,"40,000 to 59,000",more than 4,Policy Holder
No,Urban,30,"40,000 to 59,000",2 to 4,Policy Holder
No,Urban,41,"30,000 to 39,000",none,Policy Holder
No,Urban,44,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,34,"20,000 to 29,000",1,Policy Holder
No,Urban,29,"20,000 to 29,000",none,Policy Holder
No,Rural,45,"40,000 to 59,000",1,Policy Holder
No,Urban,22,"less than 20,000",none,Policy Holder
No,Rural,22,"20,000 to 29,000",2 to 4,Third Party
No,Rural,39,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,41,"20,000 to 29,000",none,Policy Holder
No,Urban,34,"20,000 to 29,000",none,Policy Holder
No,Urban,55,"30,000 to 39,000",more than 4,Policy Holder
No,Urban,28,"20,000 to 29,000",none,Policy Holder
No,Rural,57,"30,000 to 39,000",none,Policy Holder
No,Urban,65,"less than 20,000",2 to 4,Third Party
No,Urban,51,"30,000 to 39,000",more than 4,Policy Holder
No,Urban,33,"20,000 to 29,000",more than 4,Third Party
No,Urban,32,"20,000 to 29,000",none,Policy Holder
No,Urban,35,"20,000 to 29,000",2 to 4,Third Party
No,Urban,31,"20,000 to 29,000",2 to 4,Third Party
No,Urban,62,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,71,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,29,"20,000 to 29,000",none,Third Party
No,Urban,41,"more than 69,000",none,Policy Holder
No,Urban,50,"20,000 to 29,000",1,Policy Holder
No,Urban,53,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,55,"20,000 to 29,000",none,Policy Holder
No,Urban,27,"20,000 to 29,000",none,Policy Holder
No,Rural,31,"30,000 to 39,000",2 to 4,Third Party
No,Urban,74,"20,000 to 29,000",none,Policy Holder
No,Urban,27,"30,000 to 39,000",more than 4,Policy Holder
No,Urban,26,"20,000 to 29,000",more than 4,Policy Holder
No,Urban,36,"20,000 to 29,000",none,Policy Holder
No,Urban,29,"less than 20,000",2 to 4,Third Party
Yes,Urban,59,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,58,"20,000 to 29,000",2 to 4,Third Party
No,Urban,28,"20,000 to 29,000",2 to 4,Policy Holder
No,Rural,58,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,48,"30,000 to 39,000",more than 4,Policy Holder
No,Rural,28,"more than 69,000",2 to 4,Policy Holder
No,Urban,38,"20,000 to 29,000",1,Third Party
No,Urban,44,"40,000 to 59,000",none,Third Party
No,Urban,56,"20,000 to 29,000",more than 4,Policy Holder
No,Urban,30,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,38,"20,000 to 29,000",none,Policy Holder
No,Rural,38,"30,000 to 39,000",1,Third Party
No,Urban,44,"more than 69,000",1,Third Party
No,Urban,46,"20,000 to 29,000",more than 4,Policy Holder
No,Urban,36,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,26,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,38,"30,000 to 39,000",more than 4,Policy Holder
No,Urban,62,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,26,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,41,"more than 69,000",2 to 4,Policy Holder
No,Urban,47,"30,000 to 39,000",none,Third Party
No,Urban,62,"20,000 to 29,000",1,Policy Holder
No,Urban,27,"less than 20,000",2 to 4,Third Party
No,Urban,48,"20,000 to 29,000",none,Policy Holder
No,Urban,27,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,36,"less than 20,000",2 to 4,Policy Holder
No,Urban,44,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,37,"20,000 to 29,000",1,Policy Holder
No,Urban,43,"30,000 to 39,000",none,Policy Holder
No,Rural,48,"more than 69,000",none,Policy Holder
No,Urban,19,"less than 20,000",1,Third Party
No,Urban,65,"less than 20,000",1,Policy Holder
No,Urban,47,"20,000 to 29,000",1,Policy Holder
No,Urban,33,"30,000 to 39,000",1,Third Party
No,Urban,50,"20,000 to 29,000",2 to 4,Third Party
No,Urban,30,"20,000 to 29,000",2 to 4,Third Party
No,Urban,32,"20,000 to 29,000",2 to 4,Policy Holder
No,Rural,26,"20,000 to 29,000",1,Policy Holder
No,Urban,64,"40,000 to 59,000",2 to 4,Policy Holder
No,Urban,35,"20,000 to 29,000",none,Third Party
No,Urban,30,"40,000 to 59,000",2 to 4,Third Party
No,Urban,36,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,20,"more than 69,000",2 to 4,Third Party
No,Urban,33,"20,000 to 29,000",2 to 4,Policy Holder
No,Rural,78,"20,000 to 29,000",1,Third Party
No,Rural,32,"more than 69,000",2 to 4,Third Party
No,Urban,74,"20,000 to 29,000",none,Policy Holder
Yes,Urban,41,"more than 69,000",1,Policy Holder
No,Urban,50,"20,000 to 29,000",none,Third Party
No,Urban,42,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,49,"20,000 to 29,000",none,Third Party
No,Urban,48,"20,000 to 29,000",2 to 4,Policy Holder
No,Rural,45,"20,000 to 29,000",1,Policy Holder
Yes,Urban,31,"less than 20,000",none,Policy Holder
No,Urban,36,"20,000 to 29,000",more than 4,Policy Holder
No,Urban,26,"40,000 to 59,000",1,Policy Holder
No,Rural,19,"20,000 to 29,000",1,Policy Holder
No,Urban,38,"more than 69,000",more than 4,Third Party
No,Urban,36,"less than 20,000",none,Policy Holder
No,Urban,50,"20,000 to 29,000",none,Policy Holder
No,Urban,24,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,79,"less than 20,000",2 to 4,Policy Holder
No,Urban,30,"20,000 to 29,000",1,Policy Holder
No,Urban,47,"30,000 to 39,000",none,Third Party
No,Urban,46,"more than 69,000",1,Policy Holder
No,Urban,35,"30,000 to 39,000",none,Policy Holder
No,Urban,51,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,27,"30,000 to 39,000",more than 4,Policy Holder
No,Rural,28,"more than 69,000",more than 4,Policy Holder
No,Urban,34,"20,000 to 29,000",none,Third Party
No,Urban,28,"less than 20,000",none,Policy Holder
No,Urban,34,"20,000 to 29,000",none,Third Party
No,Urban,37,"20,000 to 29,000",more than 4,Policy Holder
No,Rural,33,"30,000 to 39,000",more than 4,Policy Holder
No,Urban,43,"20,000 to 29,000",more than 4,Policy Holder
No,Urban,49,"20,000 to 29,000",more than 4,Policy Holder
No,Urban,49,"more than 69,000",none,Policy Holder
No,Urban,31,"less than 20,000",2 to 4,Policy Holder
Yes,Urban,28,"20,000 to 29,000",none,Policy Holder
No,Urban,40,"more than 69,000",2 to 4,Policy Holder
No,Urban,34,"20,000 to 29,000",none,Third Party
No,Urban,37,"less than 20,000",1,Third Party
No,Rural,28,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,69,"30,000 to 39,000",none,Policy Holder
No,Urban,34,"20,000 to 29,000",1,Policy Holder
No,Urban,27,"20,000 to 29,000",1,Policy Holder
No,Urban,29,"less than 20,000",2 to 4,Policy Holder
No,Urban,36,"more than 69,000",none,Policy Holder
No,Urban,53,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,35,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,41,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,63,"30,000 to 39,000",none,Third Party
No,Urban,26,"less than 20,000",2 to 4,Policy Holder
Yes,Urban,40,"30,000 to 39,000",none,Policy Holder
No,Urban,34,"20,000 to 29,000",none,Policy Holder
No,Urban,32,"20,000 to 29,000",1,Policy Holder
No,Urban,31,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,27,"30,000 to 39,000",1,Policy Holder
No,Urban,40,"20,000 to 29,000",none,Third Party
Yes,Urban,48,"less than 20,000",none,Policy Holder
No,Urban,28,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,46,"20,000 to 29,000",2 to 4,Policy Holder
Yes,Urban,23,"less than 20,000",1,Policy Holder
No,Urban,26,"30,000 to 39,000",1,Policy Holder
Yes,Urban,28,"20,000 to 29,000",1,Policy Holder
No,Urban,50,"40,000 to 59,000",more than 4,Policy Holder
No,Urban,45,"20,000 to 29,000",none,Third Party
No,Urban,43,"more than 69,000",2 to 4,Policy Holder
No,Urban,54,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,28,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,56,"more than 69,000",more than 4,Policy Holder
No,Urban,0,"more than 69,000",none,Policy Holder
No,Urban,32,"20,000 to 29,000",none,Third Party
No,Urban,31,"20,000 to 29,000",1,Third Party
No,Urban,40,"less than 20,000",none,Policy Holder
No,Urban,43,"20,000 to 29,000",more than 4,Policy Holder
No,Rural,52,"30,000 to 39,000",more than 4,Policy Holder
Yes,Urban,34,"30,000 to 39,000",more than 4,Policy Holder
No,Urban,36,"20,000 to 29,000",2 to 4,Policy Holder
No,Urban,29,"20,000 to 29,000",1,Policy Holder
No,Urban,74,"more than 69,000",none,Third Party
No,Urban,60,"30,000 to 39,000",1,Policy Holder
No,Urban,30,"30,000 to 39,000",more than 4,Policy Holder
No,Urban,29,"more than 69,000",none,Third Party
No,Urban,31,"more than 69,000",none,Third Party
No,Urban,34,"20,000 to 29,000",none,Policy Holder
No,Urban,36,"20,000 to 29,000",none,Policy Holder
Yes,Urban,28,"20,000 to 29,000",1,Policy Holder
No,Rural,44,"20,000 to 29,000",none,Policy Holder
No,Urban,45,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,61,"30,000 to 39,000",2 to 4,Policy Holder
No,Urban,45,"more than 69,000",1,Third Party
No,Urban,52,"more than 69,000",2 to 4,Third Party
No,Urban,43,"more than 69,000",1,Policy Holder
No,Rural,55,"less than 20,000",none,Policy Holder
No,Urban,46,"20,000 to 29,000",none,Policy Holder
